,0.3,0.4,0.5,0.6000000000000001,0.7000000000000002,0.8000000000000003,0.9000000000000001,1.0000000000000002,1.1000000000000003,1.2000000000000004,1.3000000000000005,1.4000000000000004
0.25,11.0,11.0,11.0,12.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,20.0
0.5,12.0,12.0,12.0,14.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,25.0
0.75,13.0,14.0,15.0,15.0,18.0,20.0,20.0,25.0,25.0,30.0,30.0,30.0
1.0,15.0,15.0,18.0,20.0,20.0,25.0,25.0,30.0,30.0,35.0,40.0,40.0
1.25,16.0,18.0,20.0,22.0,25.0,28.0,30.0,35.0,40.0,40.0,45.0,50.0
1.5,18.0,20.0,22.0,25.0,28.0,30.0,35.0,40.0,45.0,50.0,50.0,55.0
1.75,20.0,22.0,25.0,28.0,32.0,35.0,40.0,45.0,50.0,55.0,60.0,60.0
2.0,22.0,25.0,28.0,32.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0
2.25,24.0,26.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0
2.5,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0
2.75,28.0,32.0,38.0,42.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0
3.0,30.0,35.0,40.0,45.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0
3.25,32.0,38.0,45.0,50.0,58.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0
3.5,35.0,42.0,50.0,55.0,62.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0
3.75,38.0,45.0,52.0,60.0,68.0,75.0,80.0,85.0,92.0,98.0,100.0,105.0
4.0,42.0,50.0,55.0,65.0,70.0,80.0,85.0,92.0,100.0,102.0,105.0,110.0
4.25,45.0,52.0,60.0,70.0,75.0,85.0,90.0,100.0,105.0,108.0,110.0,115.0
4.5,48.0,55.0,65.0,75.0,82.0,90.0,95.0,105.0,110.0,112.0,115.0,120.0
4.75,50.0,60.0,70.0,80.0,88.0,95.0,102.0,110.0,115.0,118.0,120.0,125.0
5.0,55.0,65.0,75.0,85.0,95.0,100.0,110.0,115.0,120.0,122.0,125.0,130.0
