,0.3,0.4,0.5,0.6000000000000001,0.7000000000000002,0.8000000000000003,0.9000000000000001,1.0000000000000002,1.1000000000000003,1.2000000000000004,1.3000000000000005,1.4000000000000004
0.25,12.0,13.0,13.0,14.0,16.0,17.0,19.0,20.0,22.0,25.0,27.0,30.0
0.5,15.0,15.0,15.0,20.0,20.0,20.0,20.0,30.0,30.0,30.0,30.0,40.0
0.75,18.0,20.0,20.0,25.0,30.0,30.0,30.0,40.0,40.0,50.0,50.0,50.0
1.0,20.0,25.0,25.0,30.0,35.0,40.0,40.0,50.0,50.0,60.0,60.0,70.0
1.25,25.0,30.0,30.0,40.0,40.0,50.0,50.0,60.0,60.0,70.0,70.0,80.0
1.5,30.0,35.0,40.0,45.0,50.0,60.0,60.0,70.0,80.0,80.0,80.0,90.0
1.75,35.0,40.0,50.0,55.0,60.0,70.0,70.0,80.0,90.0,90.0,100.0,100.0
2.0,40.0,50.0,55.0,60.0,70.0,80.0,90.0,90.0,100.0,100.0,110.0,110.0
2.25,50.0,55.0,65.0,70.0,80.0,90.0,100.0,100.0,110.0,110.0,120.0,120.0
2.5,55.0,65.0,70.0,80.0,90.0,100.0,110.0,110.0,120.0,120.0,130.0,130.0
2.75,60.0,70.0,80.0,90.0,100.0,110.0,120.0,120.0,130.0,130.0,135.0,140.0
3.0,70.0,80.0,100.0,110.0,120.0,120.0,130.0,135.0,140.0,140.0,145.0,150.0
3.25,80.0,90.0,110.0,120.0,130.0,130.0,140.0,150.0,150.0,150.0,155.0,155.0
3.5,90.0,110.0,120.0,130.0,140.0,150.0,150.0,160.0,160.0,160.0,160.0,165.0
3.75,100.0,120.0,130.0,140.0,150.0,160.0,160.0,170.0,170.0,170.0,170.0,170.0
4.0,120.0,130.0,150.0,160.0,160.0,170.0,180.0,180.0,180.0,180.0,180.0,180.0
4.25,130.0,150.0,160.0,170.0,180.0,180.0,190.0,190.0,190.0,190.0,190.0,190.0
4.5,150.0,160.0,170.0,180.0,190.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
4.75,160.0,180.0,190.0,200.0,200.0,210.0,210.0,210.0,210.0,210.0,210.0,205.0
5.0,180.0,200.0,200.0,210.0,220.0,220.0,220.0,220.0,220.0,220.0,215.0,215.0
